"PayPal refund","Rimborso PayPal"
"Credentials source","Fonte credenziali"
"Customize the redirect page","Personalizzare la pagina di reindirizzamento"
"Username","Nomeutente"
"Signature","Firma"
"Get credentials","Ottenere le informazioni d'accesso"
"INCOMPLETE MODULE INSTALLATION","INSTALLAZIONE INCOMPLETA DEL MODULO"
"Refund completed by %s (ip: %s).","Rimborso fatto da %s (ip: %s)."
"Invalid response received from PayPal, please try again.","La risposta ricevuta da Paypal non ̬ valida, riprova."
"Below","Sotto"
"From PayPal configuration","Dalla configurazione PayPal"